,equity
2025-01-01,95080.40368264505
2025-01-02,91722.4208838011
2025-01-03,90415.60905257298
2025-01-04,93647.29365629643
2025-01-05,93058.95745695203
2025-01-06,93946.34976371795
2025-01-07,90880.00776507444
2025-01-08,89490.51548226179
2025-01-09,91393.62030077892
2025-01-10,93143.74812536014
2025-01-11,95555.87058537405
2025-01-12,94123.63673845133
2025-01-13,96333.07146680218
2025-01-14,97100.84636601803
2025-01-15,98701.12885953672
2025-01-16,100252.09124837193
2025-01-17,101069.72121580693
2025-01-18,103789.88373703095
2025-01-19,102528.8681211314
2025-01-20,101985.72010263993
2025-01-21,105829.07892035418
2025-01-22,107397.0108350282
2025-01-23,111285.72136846592
2025-01-24,111538.19142802584
2025-01-25,113596.33747621306
2025-01-26,115634.06831755259
2025-01-27,116020.35036694774
2025-01-28,115764.00982068258
2025-01-29,115473.39106036503
2025-01-30,115458.77624639167
2025-01-31,113077.37489296768
2025-02-01,113425.81355005114
2025-02-02,113054.27366250206
2025-02-03,109379.8687249072
2025-02-04,109626.10314256036
2025-02-05,112556.28557749932
2025-02-06,112032.17093382856
2025-02-07,111134.84190841616
2025-02-08,113907.21246246208
2025-02-09,114540.4684220652
2025-02-10,110117.25066257676
2025-02-11,109500.2252360043
2025-02-12,108596.73086051682
2025-02-13,113914.80316727834
2025-02-14,112979.11665102873
2025-02-15,114451.85514990483
2025-02-16,115639.05770482412
2025-02-17,121235.15170635506
2025-02-18,123247.7945894393
2025-02-19,121182.03714767678
2025-02-20,122435.91224986468
2025-02-21,119813.16107751436
2025-02-22,117893.7006305211
2025-02-23,119002.11135709706
2025-02-24,121421.64278814921
2025-02-25,121659.15625321057
2025-02-26,121245.80441887167
2025-02-27,119961.19657652442
2025-02-28,118919.68945713094
2025-03-01,119690.56149917845
2025-03-02,121823.04667501629
2025-03-03,122538.61057657347
2025-03-04,121171.21190674392
2025-03-05,121589.89430085671
2025-03-06,120973.27446124921
2025-03-07,119344.16285897704
2025-03-08,121511.23019970105
2025-03-09,123779.83417733769
2025-03-10,123956.73063484067
2025-03-11,123778.60981425385
2025-03-12,126560.12017677976
2025-03-13,126700.0176533037
2025-03-14,130372.47913466152
2025-03-15,132127.1923379782
2025-03-16,133910.641835676
2025-03-17,136968.93981656033
2025-03-18,137718.75387897086
2025-03-19,141915.03516544352
2025-03-20,141942.99060981773
2025-03-21,143293.1794117493
2025-03-22,142004.6115443043
2025-03-23,143420.04656985326
2025-03-24,141979.14841525487
2025-03-25,145539.86063540663
2025-03-26,143972.25077028963
2025-03-27,142461.8608634846
2025-03-28,143273.50613046618
2025-03-29,141996.11543692657
2025-03-30,143133.79795714244
2025-03-31,141556.66060590793
2025-04-01,140914.12943874457
2025-04-02,139779.84240050206
2025-04-03,141740.89091012205
2025-04-04,143481.14761804367
2025-04-05,140934.54725676082
2025-04-06,142633.004558164
2025-04-07,140949.64071156626
2025-04-08,140061.11174688794
2025-04-09,138605.6010948206
2025-04-10,139868.3741801737
